t,phase,travel,speed,swingDeg,boomDeg,stickDeg,bucketDeg,payloadKg,rollDeg,tipMargin,hydC,personRight,personFwd,personWalking,personDist,seatbelt,eyesClosed,jawOpen,camYawn,camDrowsy,cfSpeed,cfSwingDeg,cfTipMargin,cfPersonDist,cfClearance
0,normal,0,0,0,22,-10,30,0,0,2.3,64.032,-3.5,-19,0,19.324,1,0.093,0.072,0,0,0,0,2.3,19.32,16.42
0.008,normal,0,0,0,22,-10,30,0,0,2.3,64.033,-3.5,-19,0,19.317,1,0.074,0.084,0,0,0,0,2.3,19.32,16.42
0.017,normal,0,0,0,22,-10,30,0,0,2.302,64.055,-3.5,-19,0,19.303,1,0.059,0.061,0,0,0,0,2.3,19.32,16.42
0.025,normal,0,0,0,22,-10,30,0,0,2.299,64.026,-3.5,-19,0,19.301,1,0.08,0.073,0,0,0,0,2.3,19.32,16.42
0.033,normal,0,0,0,22,-10,30,0,0,2.303,64.093,-3.5,-19,0,19.333,1,0.066,0.075,0,0,0,0,2.3,19.32,16.42
0.042,normal,0,0,0,22,-10,30,0,0,2.296,64.074,-3.5,-19,0,19.344,1,0.065,0.056,0,0,0,0,2.3,19.32,16.42
0.05,normal,0,0,0,22,-10,30,0,0,2.298,64.019,-3.5,-19,0,19.324,1,0.092,0.056,0,0,0,0,2.3,19.32,16.42
0.058,normal,0,0,0,22,-10,30,0,0,2.303,63.968,-3.5,-19,0,19.296,1,0.054,0.084,0,0,0,0,2.3,19.32,16.42
0.067,normal,0,0,0,22,-10,30,0,0,2.3,63.934,-3.5,-19,0,19.32,1,0.087,0.054,0,0,0,0,2.3,19.32,16.42
0.075,normal,0,0,0,22,-10,30,0,0,2.295,63.987,-3.5,-19,0,19.326,1,0.099,0.067,0,0,0,0,2.3,19.32,16.42
0.083,normal,0,0,0,22,-10,30,0,0,2.299,63.869,-3.5,-19,0,19.331,1,0.071,0.08,0,0,0,0,2.3,19.32,16.42
0.092,normal,0,0,0,22,-10,30,0,0,2.301,63.959,-3.5,-19,0,19.337,1,0.058,0.055,0,0,0,0,2.3,19.32,16.42
0.1,normal,0,0,0,22,-10,30,0,0,2.301,63.893,-3.5,-19,0,19.313,1,0.069,0.087,0,0,0,0,2.3,19.32,16.42
0.108,normal,0,0,0,22,-10,30,0,0,2.301,63.979,-3.5,-19,0,19.341,1,0.079,0.067,0,0,0,0,2.3,19.32,16.42
0.117,normal,0,0,0,22,-10,30,0,0,2.3,63.858,-3.5,-19,0,19.339,1,0.065,0.066,0,0,0,0,2.3,19.32,16.42
0.125,normal,0,0,0,22,-10,30,0,0,2.296,64.08,-3.5,-19,0,19.322,1,0.076,0.054,0,0,0,0,2.3,19.32,16.42
0.133,normal,0,0,0,22,-10,30,0,0,2.301,64.122,-3.5,-19,0,19.343,1,0.08,0.074,0,0,0,0,2.3,19.32,16.42
0.142,normal,0,0,0,22,-10,30,0,0,2.3,63.885,-3.5,-19,0,19.327,1,0.083,0.09,0,0,0,0,2.3,19.32,16.42
0.15,normal,0,0,0,22,-10,30,0,0,2.296,63.899,-3.5,-19,0,19.327,1,0.099,0.064,0,0,0,0,2.3,19.32,16.42
0.158,normal,0,0,0,22,-10,30,0,0,2.299,64.086,-3.5,-19,0,19.327,1,0.054,0.061,0,0,0,0,2.3,19.32,16.42
0.167,normal,0,0,0,22,-10,30,0,0,2.3,64.047,-3.5,-19,0,19.306,1,0.086,0.063,0,0,0,0,2.3,19.32,16.42
0.175,normal,0,0,0,22,-10,30,0,0,2.301,63.973,-3.5,-19,0,19.304,1,0.091,0.087,0,0,0,0,2.3,19.32,16.42
0.183,normal,0,0,0,22,-10,30,0,0,2.295,63.989,-3.5,-19,0,19.337,1,0.078,0.078,0,0,0,0,2.3,19.32,16.42
0.192,normal,0,0,0,22,-10,30,0,0,2.295,64.008,-3.5,-19,0,19.319,1,0.058,0.082,0,0,0,0,2.3,19.32,16.42
0.2,normal,0,0,0,22,-10,30,0,0,2.296,64.159,-3.5,-19,0,19.325,1,0.085,0.083,0,0,0,0,2.3,19.32,16.42
0.208,normal,0,0,0,22,-10,30,0,0,2.305,63.876,-3.5,-19,0,19.303,1,0.08,0.066,0,0,0,0,2.3,19.32,16.42
0.217,normal,0,0,0,22,-10,30,0,0,2.3,63.876,-3.5,-19,0,19.298,1,0.073,0.061,0,0,0,0,2.3,19.32,16.42
0.225,normal,0,0,0,22,-10,30,0,0,2.302,63.985,-3.5,-19,0,19.312,1,0.079,0.065,0,0,0,0,2.3,19.32,16.42
0.233,normal,0,0,0,22,-10,30,0,0,2.298,63.995,-3.5,-19,0,19.307,1,0.084,0.063,0,0,0,0,2.3,19.32,16.42
0.242,normal,0,0,0,22,-10,30,0,0,2.301,63.863,-3.5,-19,0,19.301,1,0.058,0.083,0,0,0,0,2.3,19.32,16.42
0.25,normal,0,0,0,22,-10,30,0,0,2.303,63.921,-3.5,-19,0,19.326,1,0.091,0.08,0,0,0,0,2.3,19.32,16.42
0.258,normal,0,0,0,22,-10,30,0,0,2.296,63.889,-3.5,-19,0,19.332,1,0.061,0.055,0,0,0,0,2.3,19.32,16.42
0.267,normal,0,0,0,22,-10,30,0,0,2.296,64.128,-3.5,-19,0,19.327,1,0.086,0.073,0,0,0,0,2.3,19.32,16.42
0.275,normal,0,0,0,22,-10,30,0,0,2.302,63.979,-3.5,-19,0,19.333,1,0.061,0.058,0,0,0,0,2.3,19.32,16.42
0.283,normal,0,0,0,22,-10,30,0,0,2.301,63.867,-3.5,-19,0,19.323,1,0.098,0.085,0,0,0,0,2.3,19.32,16.42
