t,phase,travel,speed,swingDeg,boomDeg,stickDeg,bucketDeg,payloadKg,rollDeg,tipMargin,hydC,personRight,personFwd,personWalking,personDist,seatbelt,eyesClosed,jawOpen,camYawn,camDrowsy,cfSpeed,cfSwingDeg,cfTipMargin,cfPersonDist,cfClearance
0,normal,0,0,0.006,28,20,35,1900,0,1.945,86.072,6.062,-4.244,0,7.4,1,0.101,0.08,0,0,0,0.006,1.95,7.4,12.442
0.008,normal,0,0,0.019,28.017,20,35,1900,0,1.947,86.138,6.062,-4.244,0,7.4,1,0.088,0.068,0,0,0,0.019,1.95,7.4,12.441
0.017,normal,0,0,0.038,28.035,20,35,1900,0,1.951,86.09,6.062,-4.244,0,7.4,1,0.106,0.065,0,0,0,0.038,1.95,7.4,12.44
0.025,normal,0,0,0.063,28.052,20,35,1900,0,1.954,86.117,6.062,-4.244,0,7.4,1,0.089,0.072,0,0,0,0.063,1.95,7.4,12.438
0.033,normal,0,0,0.094,28.07,20,35,1900,0,1.951,86.078,6.062,-4.244,0,7.4,1,0.118,0.057,0,0,0,0.094,1.95,7.4,12.436
0.042,normal,0,0,0.131,28.087,20,35,1900,0,1.947,86.051,6.062,-4.244,0,7.4,1,0.084,0.064,0,0,0,0.131,1.95,7.4,12.434
0.05,normal,0,0,0.175,28.105,20,35,1900,0,1.948,86.054,6.062,-4.244,0,7.4,1,0.092,0.073,0,0,0,0.175,1.95,7.4,12.431
0.058,normal,0,0,0.225,28.122,20,35,1900,0,1.955,85.962,6.062,-4.244,0,7.4,1,0.099,0.067,0,0,0,0.225,1.95,7.4,12.428
0.067,normal,0,0,0.281,28.14,20,35,1900,0,1.946,86.128,6.062,-4.244,0,7.4,1,0.094,0.066,0,0,0,0.281,1.95,7.4,12.425
0.075,normal,0,0,0.344,28.157,20,35,1900,0,1.947,86.027,6.062,-4.244,0,7.4,1,0.117,0.054,0,0,0,0.344,1.95,7.4,12.421
0.083,normal,0,0,0.413,28.175,20,35,1900,0,1.954,85.91,6.062,-4.244,0,7.4,1,0.108,0.059,0,0,0,0.413,1.95,7.4,12.416
