t,phase,travel,speed,swingDeg,boomDeg,stickDeg,bucketDeg,payloadKg,rollDeg,tipMargin,hydC,personRight,personFwd,personWalking,personDist,seatbelt,eyesClosed,jawOpen,camYawn,camDrowsy,cfSpeed,cfSwingDeg,cfTipMargin,cfPersonDist,cfClearance
0,normal,0,0,0,12.075,0,20,2800,12,1.88,70.87,9,11,0,14.213,1,0.092,0.062,0,0,0,0,1.883,14.213,0.883
0.008,normal,0,0,0,12.15,0,20,2800,12,1.882,70.915,9,11,0,14.213,1,0.086,0.088,0,0,0,0,1.883,14.213,0.883
0.017,normal,0,0,0,12.225,0,20,2800,12,1.886,70.855,9,11,0,14.213,1,0.095,0.058,0,0,0,0,1.883,14.213,0.883
0.025,normal,0,0,0,12.3,0,20,2800,12,1.88,71.149,9,11,0,14.213,1,0.102,0.069,0,0,0,0,1.883,14.213,0.883
0.033,normal,0,0,0,12.375,0,20,2800,12,1.885,70.871,9,11,0,14.213,1,0.083,0.076,0,0,0,0,1.883,14.213,0.883
0.042,normal,0,0,0,12.45,0,20,2800,12,1.886,70.919,9,11,0,14.213,1,0.102,0.059,0,0,0,0,1.883,14.213,0.883
0.05,normal,0,0,0,12.525,0,20,2800,12,1.88,71.091,9,11,0,14.213,1,0.068,0.079,0,0,0,0,1.882,14.213,0.882
0.058,normal,0,0,0,12.6,0,20,2800,12,1.881,71.01,9,11,0,14.213,1,0.107,0.081,0,0,0,0,1.882,14.213,0.882
0.067,normal,0,0,0,12.675,0,20,2800,12,1.885,71.132,9,11,0,14.213,1,0.092,0.082,0,0,0,0,1.882,14.213,0.882
0.075,normal,0,0,0,12.75,0,20,2800,12,1.884,70.924,9,11,0,14.213,1,0.076,0.071,0,0,0,0,1.882,14.213,0.882
0.083,normal,0,0,0,12.825,0,20,2800,12,1.885,71.146,9,11,0,14.213,1,0.1,0.076,0,0,0,0,1.882,14.213,0.882
0.092,normal,0,0,0,12.9,0,20,2800,12,1.88,71.133,9,11,0,14.213,1,0.07,0.066,0,0,0,0,1.882,14.213,0.882
0.1,normal,0,0,0,12.975,0,20,2800,12,1.884,70.91,9,11,0,14.213,1,0.094,0.086,0,0,0,0,1.882,14.213,0.882
0.108,normal,0,0,0,13.05,0,20,2800,12,1.884,70.864,9,11,0,14.213,1,0.089,0.071,0,0,0,0,1.882,14.213,0.882
0.117,normal,0,0,0,13.125,0,20,2800,12,1.883,70.973,9,11,0,14.213,1,0.075,0.052,0,0,0,0,1.881,14.213,0.881
0.125,normal,0,0,0,13.2,0,20,2800,12,1.877,70.926,9,11,0,14.213,1,0.092,0.053,0,0,0,0,1.881,14.213,0.881
0.133,normal,0,0,0,13.275,0,20,2800,12,1.882,71.147,9,11,0,14.213,1,0.095,0.057,0,0,0,0,1.881,14.213,0.881
0.142,normal,0,0,0,13.35,0,20,2800,12,1.878,71.087,9,11,0,14.213,1,0.088,0.062,0,0,0,0,1.881,14.213,0.881
0.15,normal,0,0,0,13.425,0,20,2800,12,1.877,71.117,9,11,0,14.213,1,0.097,0.084,0,0,0,0,1.881,14.213,0.881
0.158,normal,0,0,0,13.5,0,20,2800,12,1.882,70.876,9,11,0,14.213,1,0.068,0.077,0,0,0,0,1.881,14.213,0.881
0.167,normal,0,0,0,13.575,0,20,2800,12,1.882,70.936,9,11,0,14.213,1,0.081,0.06,0,0,0,0,1.881,14.213,0.881
0.175,normal,0,0,0,13.65,0,20,2800,12,1.878,71.038,9,11,0,14.213,1,0.11,0.051,0,0,0,0,1.88,14.213,0.88
0.183,normal,0,0,0,13.725,0,20,2800,12,1.882,71.019,9,11,0,14.213,1,0.066,0.089,0,0,0,0,1.88,14.213,0.88
0.192,normal,0,0,0,13.8,0,20,2800,12,1.881,71.077,9,11,0,14.213,1,0.109,0.082,0,0,0,0,1.88,14.213,0.88
0.2,normal,0,0,0,13.875,0,20,2800,12,1.883,70.931,9,11,0,14.213,1,0.063,0.081,0,0,0,0,1.88,14.213,0.88
0.208,normal,0,0,0,13.95,0,20,2800,12,1.881,71.051,9,11,0,14.213,1,0.095,0.078,0,0,0,0,1.88,14.213,0.88
0.217,normal,0,0,0,14.025,0,20,2800,12,1.881,71.054,9,11,0,14.213,1,0.071,0.08,0,0,0,0,1.88,14.213,0.88
0.225,normal,0,0,0,14.1,0,20,2800,12,1.877,71.169,9,11,0,14.213,1,0.096,0.054,0,0,0,0,1.88,14.213,0.88
